"sub_id";"sub_title";"sub_url";"sub_pos";"sub_categoria"
8;"Bacharelado em Psicologia 8°";"bacharelado-em-psicologia-8";0;6
26;"Bacharelado em Psicologia 1°";"bacharelado-em-psicologia-1";0;6
28;"Bacharelado em Serviço Social 8°";"bacharelado-em-servico-social-8";0;6
31;"Bacharelado em Psicologia 2°";"bacharelado-em-psicologia-2";0;6
32;"Bacharelado em Psicologia 3°";"bacharelado-em-psicologia-3";0;6
33;"Bacharelado em Psicologia 4°";"bacharelado-em-psicologia-4";0;6
34;"Bacharelado em Psicologia 5°";"bacharelado-em-psicologia-5";0;6
35;"Bacharelado em Psicologia 6°";"bacharelado-em-psicologia-6";0;6
36;"Bacharelado em Psicologia 7°";"bacharelado-em-psicologia-7";0;6
37;"Bacharelado em Psicologia 9°";"bacharelado-em-psicologia-9";0;6
38;"Bacharelado em Psicologia 10°";"bacharelado-em-psicologia-10";0;6
41;"Especialização em Docência no Ensino Superior";"especializacao-em-docencia-no-ensino-superior";0;7
43;"Licenciatura em Pedagogia 1°";"licenciatura-em-pedagogia-1";0;6
44;"Auxiliar de Classe";"auxiliar-de-classe";0;6
45;"Atendente de Farmácia";"atendente-de-farmacia";0;6
46;"Bacharelado em Administração de Empresas 2º";"bacharelado-em-administracao-de-empresas-2";0;6
47;"Bacharelado em Administração de Empresas 1°";"bacharelado-em-administracao-de-empresas-1";0;6
48;"Bacharelado em Administração de Empresas 3°";"bacharelado-em-administracao-de-empresas-3";0;6
49;"Bacharelado em Administração de Empresas 4°";"bacharelado-em-administracao-de-empresas-4";0;6
50;"Bacharelado em Administração de Empresas 5°";"bacharelado-em-administracao-de-empresas-5";0;6
51;"Bacharelado em Administração de Empresas 6°";"bacharelado-em-administracao-de-empresas-6";0;6
52;"Bacharelado em Administração de Empresas 7°";"bacharelado-em-administracao-de-empresas-7";0;6
54;"Superior em Gestão em Agronegócio 01";"superior-em-gestao-em-agronegocio-01";0;6
58;"Superior em Gestão em Agronegócio 02";"superior-em-gestao-em-agronegocio-02";0;6
59;"Superior em Gestão em Agronegócio 03";"superior-em-gestao-em-agronegocio-03";0;6
60;"Superior em Gestão em Agronegócio 04";"superior-em-gestao-em-agronegocio-04";0;6
61;"Complementação Pedagógica em Geografia I°";"complementacao-pedagogica-em-geografia-i";0;6
62;"Complementação Pedagógica em Geografia II°";"complementacao-pedagogica-em-geografia-ii";0;6
63;"Complementação Pedagógica em Pedagogia I°";"complementacao-pedagogica-em-pedagogia-i";0;6
64;"Complementação Pedagógica em Pedagogia II°";"complementacao-pedagogica-em-pedagogia-ii";0;6
65;"Complementação Pedagógica em Letras com Inglês I°";"complementacao-pedagogica-em-letras-com-ingles-i";0;6
66;"Complementação Pedagógica em Letras com Inglês II°";"complementacao-pedagogica-em-letras-com-ingles-ii";0;6
67;"Bacharelado em Administração de Empresas 8°";"bacharelado-em-administracao-de-empresas-8";0;6
68;"Bacharelado em Serviço Social 1°";"bacharelado-em-servico-social-1";0;6
69;"Bacharelado em Serviço Social 2°";"bacharelado-em-servico-social-2";0;6
70;"Bacharelado em Serviço Social 3°";"bacharelado-em-servico-social-3";0;6
71;"Bacharelado em Serviço Social 4°";"bacharelado-em-servico-social-4";0;6
72;"Bacharelado em Serviço Social 5°";"bacharelado-em-servico-social-5";0;6
73;"Bacharelado em Serviço Social 6°";"bacharelado-em-servico-social-6";0;6
74;"Bacharelado em Serviço Social 7°";"bacharelado-em-servico-social-7";0;6
75;"Bacharelado em Ciências Contabéis 1°";"bacharelado-em-ciencias-contabeis-1";0;6
76;"Bacharelado em Ciências Contabéis 2°";"bacharelado-em-ciencias-contabeis-2";0;6
77;"Bacharelado em Ciências Contabéis 3°";"bacharelado-em-ciencias-contabeis-3";0;6
78;"Bacharelado em Ciências Contabéis 4°";"bacharelado-em-ciencias-contabeis-4";0;6
79;"Bacharelado em Ciências Contabéis 5°";"bacharelado-em-ciencias-contabeis-5";0;6
80;"Bacharelado em Ciências Contabéis 6°";"bacharelado-em-ciencias-contabeis-6";0;6
81;"Bacharelado em Ciências Contabéis 7°";"bacharelado-em-ciencias-contabeis-7";0;6
82;"Bacharelado em Ciências Contabéis 8°";"bacharelado-em-ciencias-contabeis-8";0;6
83;"Licenciatura em Educação Física 1°";"licenciatura-em-educacao-fisica-1";0;6
84;"Licenciatura em Educação Física 2°";"licenciatura-em-educacao-fisica-2";0;6
85;"Licenciatura em Educação Física 3°";"licenciatura-em-educacao-fisica-3";0;6
86;"Licenciatura em Educação Física 4°";"licenciatura-em-educacao-fisica-4";0;6
87;"Licenciatura em Educação Física 5°";"licenciatura-em-educacao-fisica-5";0;6
88;"Licenciatura em Educação Física 6°";"licenciatura-em-educacao-fisica-6";0;6
89;"Licenciatura em Educação Física 7°";"licenciatura-em-educacao-fisica-7";0;6
90;"Licenciatura em Educação Física 8°";"licenciatura-em-educacao-fisica-8";0;6
91;"Licenciatura em Pedagogia 2°";"licenciatura-em-pedagogia-2";0;6
92;"Licenciatura em Pedagogia 3°";"licenciatura-em-pedagogia-3";0;6
93;"Licenciatura em Pedagogia 4°";"licenciatura-em-pedagogia-4";0;6
94;"Licenciatura em Pedagogia 5°";"licenciatura-em-pedagogia-5";0;6
95;"Licenciatura em Pedagogia 6°";"licenciatura-em-pedagogia-6";0;6
96;"Licenciatura em Pedagogia 7°";"licenciatura-em-pedagogia-7";0;6
97;"Licenciatura em Pedagogia 8°";"licenciatura-em-pedagogia-8";0;6
98;"Licenciatura em História";"licenciatura-em-historia";0;6
99;"Gestão de Clinica Odontológica";"gestao-de-clinica-odontologica";0;6
100;"Especialização em Psicopedagogia Institucional e Clinica";"especializacao-em-psicopedagogia-institucional-e-clinica";0;7
102;"Especialização em Neuropsicopedagogia Institucional e Clinica";"especializacao-em-neuropsicopedagogia-institucional-e-clinica";0;7
103;"Gestão de Segurança Pública e Privada I";"gestao-de-seguranca-publica-e-privada-i";0;6
104;"Gestão de Segurança Pública e Privada II";"gestao-de-seguranca-publica-e-privada-ii";0;6
105;"Gestão de Segurança Pública e Privada III";"gestao-de-seguranca-publica-e-privada-iii";0;6
106;"Gestão de Segurança Pública e Privada IV";"gestao-de-seguranca-publica-e-privada-iv";0;6
107;"Licenciatura em Arte I";"licenciatura-em-arte-i";0;6
108;"Licenciatura em Arte II";"licenciatura-em-arte-ii";0;6
109;"Técnico em Enfermagem I";"tecnico-em-enfermagem-i";0;6
110;"Técnico em Enfermagem II";"tecnico-em-enfermagem-ii";0;6
111;"Técnico em Enfermagem III";"tecnico-em-enfermagem-iii";0;6
112;"Técnico em Enfermagem IV";"tecnico-em-enfermagem-iv";0;6
113;"Especialização em Educação Antirracista";"especializacao-em-educacao-antirracista";0;7
114;"Técnico em Serviços Juridicos I";"tecnico-em-servicos-juridicos-i";0;6
115;"Técnico em Serviços Juridicos II";"tecnico-em-servicos-juridicos-ii";0;6
116;"Técnico em Serviços Juridicos III";"tecnico-em-servicos-juridicos-iii";0;6
117;"Técnico em Serviços Juridicos IV";"tecnico-em-servicos-juridicos-iv";0;6
118;"Bacharelado em Direito Iº";"bacharelado-em-direito-i";0;6
119;"Especialização em Educação Especial e Inclusiva";"especializacao-em-educacao-especial-e-inclusiva";0;7
120;"Complementação Pedagógica em Matemática";"complementacao-pedagogica-em-matematica";0;6
